23	24																						
8578	7614	8360	10794	10064	5443	5261	11247	8140	7722	11342	11003	9612	10727	9742	8648	6814	7485	11377	5059	6742	6932	7357	9766
8050	6971	5331	6919	6263	8248	11109	8876	5469	6366	8027	8041	7418	7382	5418	7697	11355	6221	9741	6381	7876	11209	11396	7660
8046	9884	8953	9827	9392	5634	5420	7493	9961	8774	6017	7630	10037	9662	9175	8254	7191	9884	8887	7173	5408	9429	9665	5891
10587	11819	11669	6651	10068	11699	11838	7236	10464	9368	5932	11160	6980	6638	8338	8814	7490	5142	6691	9082	7373	5043	11588	6646
10714	8020	5357	5341	7161	6053	11850	9020	10301	5043	6712	8439	8547	6381	8410	11326	8974	10547	8538	11717	8483	6674	9967	5701
9678	5843	11324	5696	5861	5845	11067	10931	10917	11724	10277	11141	5710	9546	11113	5888	9339	5100	5964	5852	11167	8186	5372	9899
9998	11583	8714	10337	5460	11547	8089	8903	5700	5969	11594	6595	9922	9601	8085	7711	7651	8544	9251	7320	7568	11568	9451	9799
5679	11921	9430	6827	10409	10597	6815	9196	11604	9500	11772	10985	10921	9464	6574	5064	5264	10040	7518	10738	8318	7363	11221	7757
5043	9701	7512	7871	6627	8301	10974	8538	9967	6078	9381	11280	7301	8763	10532	11710	10675	10988	8138	7128	11865	5943	5578	7869
9464	7916	8688	8331	5507	10071	10760	5204	10199	10057	8516	6783	9358	8125	6863	5547	6592	11751	5888	7483	5763	11024	6623	6071
7090	11475	11577	8200	10765	7665	8522	10519	6673	11954	6656	8983	7477	11483	5227	7266	10784	8836	6655	5403	8717	8241	7260	9768
5520	10407	7140	10122	11825	11921	11326	11182	9848	8004	11050	5558	7432	8552	8490	7246	10335	5604	6259	8880	7609	9178	7098	10061
7101	8951	10792	8817	6600	11067	6827	8330	7107	11405	10271	10982	9183	10787	7964	6381	9335	7913	10086	11955	9337	7291	9109	11592
9082	6517	5470	8886	9599	7560	6846	10081	10707	10215	7543	8464	6385	8344	5036	11591	5101	7154	5564	6321	9025	10754	11437	7706
7675	5716	5053	7200	11147	6720	10565	11047	9828	6647	10469	6326	10045	9704	6867	11744	8512	7456	6493	6479	11552	11887	11832	7638
10594	9880	10004	6868	8296	7041	11323	9306	10345	11344	8935	11702	6408	6911	8454	10337	7771	7870	8947	9256	5312	5221	10367	5878
7766	5766	9729	9436	6704	8927	11492	5202	10786	9234	11154	7129	8386	11866	7044	11170	10306	8708	11829	6805	7635	9297	11883	10206
10172	10705	9761	7103	8795	8278	7428	10005	11768	9184	10339	9617	11282	8918	7210	11199	6278	9957	8887	8899	8193	8821	5191	10869
10876	5504	9482	8452	8854	9865	9216	7531	7365	9656	8434	8002	8371	5273	9799	8597	6783	6102	7688	8018	8188	9262	6140	11585
10823	9253	9035	8745	6923	9350	11726	10050	7020	8040	10459	11971	8079	9830	5790	9047	6704	10952	11016	5953	5145	8914	6322	6298
5008	5920	5697	9031	6054	7431	7946	10583	6564	8851	7231	5728	11432	6481	10070	8376	8613	9940	9348	11657	8652	11454	9167	5002
6641	5560	9820	11301	9856	10413	6292	9099	8443	9668	8503	10448	8389	10392	5851	5735	6821	8879	5931	7013	5938	10166	5490	10840
8530	10246	6039	9524	9403	8285	7908	7199	11403	6547	5295	7840	10208	6246	9315	6289	10501	6871	7500	9951	9447	5952	6170	6042
